[Train] Iter 1190/5000 | Time: 12.05s | Batch_OA: 97.07 | Batch_mIoU: 49.25 | CE_loss: 0.247
[Train] Iter 1200/5000 | Time: 12.80s | Batch_OA: 94.47 | Batch_mIoU: 48.42 | CE_loss: 0.347
[Train] Iter 1210/5000 | Time: 12.76s | Batch_OA: 97.37 | Batch_mIoU: 48.73 | CE_loss: 0.191
[Train] Iter 1220/5000 | Time: 12.72s | Batch_OA: 95.83 | Batch_mIoU: 49.39 | CE_loss: 0.487
[Train] Iter 1230/5000 | Time: 12.55s | Batch_OA: 97.30 | Batch_mIoU: 48.97 | CE_loss: 0.226
[Train] Iter 1240/5000 | Time: 12.57s | Batch_OA: 96.89 | Batch_mIoU: 49.48 | CE_loss: 0.251
[Train] Iter 1250/5000 | Time: 12.78s | Batch_OA: 94.54 | Batch_mIoU: 48.43 | CE_loss: 0.359
[Train] Iter 1260/5000 | Time: 12.69s | Batch_OA: 95.27 | Batch_mIoU: 47.75 | CE_loss: 0.169
[Train] Iter 1270/5000 | Time: 12.59s | Batch_OA: 96.11 | Batch_mIoU: 49.11 | CE_loss: 0.357
[Train] Iter 1280/5000 | Time: 12.90s | Batch_OA: 97.25 | Batch_mIoU: 48.82 | CE_loss: 0.178
[Train] Iter 1290/5000 | Time: 12.75s | Batch_OA: 97.20 | Batch_mIoU: 49.41 | CE_loss: 0.367
[Train] Iter 1300/5000 | Time: 12.62s | Batch_OA: 96.93 | Batch_mIoU: 49.71 | CE_loss: 0.221
[Train] Iter 1310/5000 | Time: 12.54s | Batch_OA: 96.65 | Batch_mIoU: 49.36 | CE_loss: 0.307
[Train] Iter 1320/5000 | Time: 12.76s | Batch_OA: 96.64 | Batch_mIoU: 49.57 | CE_loss: 0.329
[Train] Iter 1330/5000 | Time: 12.54s | Batch_OA: 95.67 | Batch_mIoU: 49.01 | CE_loss: 0.410
[Train] Iter 1340/5000 | Time: 12.84s | Batch_OA: 93.38 | Batch_mIoU: 47.71 | CE_loss: 0.316
[Train] Iter 1350/5000 | Time: 12.78s | Batch_OA: 95.27 | Batch_mIoU: 48.47 | CE_loss: 0.241
[Train] Iter 1360/5000 | Time: 12.46s | Batch_OA: 97.59 | Batch_mIoU: 49.71 | CE_loss: 0.334
[Train] Iter 1370/5000 | Time: 12.59s | Batch_OA: 98.55 | Batch_mIoU: 49.91 | CE_loss: 0.309
[Train] Iter 1380/5000 | Time: 12.56s | Batch_OA: 95.59 | Batch_mIoU: 48.80 | CE_loss: 0.375
[Train] Iter 1390/5000 | Time: 12.70s | Batch_OA: 91.94 | Batch_mIoU: 46.49 | CE_loss: 0.371
[Train] Iter 1400/5000 | Time: 12.65s | Batch_OA: 90.34 | Batch_mIoU: 45.86 | CE_loss: 0.512
[Train] Iter 1410/5000 | Time: 12.82s | Batch_OA: 92.56 | Batch_mIoU: 47.50 | CE_loss: 0.290
[Train] Iter 1420/5000 | Time: 12.53s | Batch_OA: 96.10 | Batch_mIoU: 48.80 | CE_loss: 0.351
[Train] Iter 1430/5000 | Time: 12.58s | Batch_OA: 98.47 | Batch_mIoU: 49.74 | CE_loss: 0.194
[Train] Iter 1440/5000 | Time: 12.66s | Batch_OA: 97.05 | Batch_mIoU: 49.29 | CE_loss: 0.321
[Train] Iter 1450/5000 | Time: 12.29s | Batch_OA: 97.10 | Batch_mIoU: 50.08 | CE_loss: 0.300
[Train] Iter 1460/5000 | Time: 12.64s | Batch_OA: 97.35 | Batch_mIoU: 49.25 | CE_loss: 0.289
[Train] Iter 1470/5000 | Time: 12.90s | Batch_OA: 93.82 | Batch_mIoU: 47.58 | CE_loss: 0.355
[Train] Iter 1480/5000 | Time: 12.81s | Batch_OA: 94.89 | Batch_mIoU: 48.69 | CE_loss: 0.299
[Train] Iter 1490/5000 | Time: 12.81s | Batch_OA: 96.42 | Batch_mIoU: 49.61 | CE_loss: 0.254
[Train] Iter 1500/5000 | Time: 12.77s | Batch_OA: 94.78 | Batch_mIoU: 48.57 | CE_loss: 0.316
Validating..........
===>fire Precision: 13.73
===>fire Recall: 69.40
===>fire IoU: 12.94
